x,y,value,tile_id
-31.87397742581254,8600.72669150722,90,0_-1_33
-106.74712312005408,8495.006543145162,61,0_-1_33
-102.24752097199882,8506.974744665722,69,0_-1_33
-213.8384911011443,8670.78589337213,84,0_-1_33
-140.38487731142584,8681.992954560965,73,0_-1_33
-0.06482826110186579,8654.620927342923,62,0_-1_33
-96.6621209925114,8652.831567844572,57,0_-1_33
-108.31646503034631,8479.130538539866,67,0_-1_33
-29.396753011080477,8522.668267407678,91,0_-1_33
-46.56537783847125,8697.122579449711,57,0_-1_33
-121.8752646448022,8642.367616193505,92,0_-1_33
-29.14022052641269,8533.080463294607,52,0_-1_33
-252.93441166213051,8536.791126476393,93,0_-1_33
-241.30952140984266,8455.76029455739,75,0_-1_33
-14.02111626014323,8635.9580665417,59,0_-1_33
-45.39962680917233,8588.88596288473,79,0_-1_33
-143.34184242837046,8647.926525269642,60,0_-1_33
-233.66432224755863,8677.218398936819,52,0_-1_33
-69.61549146630944,8590.631442416168,97,0_-1_33
-20.030038188057574,8625.595817747571,86,0_-1_33
-110.58926893397984,8641.114527097114,84,0_-1_33
-103.3421068328322,8675.987325736965,67,0_-1_33
-8.08403829648455,8450.981441071624,95,0_-1_33
