x,y,value,tile_id
-347.63951695475623,8542.04633726849,95,0_-2_33
-444.2322543083676,8672.070450335557,73,0_-2_33
-321.44594671719256,8617.48850557778,53,0_-2_33
-321.5429264345787,8463.060548947591,98,0_-2_33
-351.38335564578676,8543.74376001852,67,0_-2_33
-268.5630668541345,8531.123212423963,63,0_-2_33
-425.4123041706812,8573.098970862371,66,0_-2_33
-365.55401716371864,8639.88189247697,69,0_-2_33
-393.05143258033536,8547.360682023826,94,0_-2_33
-341.4389139537067,8664.712343891495,85,0_-2_33
-328.41703815483356,8593.641260605811,88,0_-2_33
-479.22497646379315,8540.442675023176,95,0_-2_33
-288.06064077155565,8496.049707431557,99,0_-2_33
-439.27862786070295,8632.496671561084,86,0_-2_33
-304.79998617770696,8452.196352779074,56,0_-2_33
