x,y,value,tile_id
-177.9614819815622,8182.124696444504,60,0_-1_31
-103.48897117632748,8173.397819758791,92,0_-1_31
-16.47702282821001,8043.9764510947225,72,0_-1_31
-6.90724575895274,7983.473851679704,69,0_-1_31
-88.03867917020182,8049.373293251856,67,0_-1_31
-50.62468343947023,8181.175735315527,65,0_-1_31
-147.2628023449089,7953.24908970237,60,0_-1_31
-223.00161032253322,8128.8895336972855,51,0_-1_31
-113.01485266355257,8036.646511590378,59,0_-1_31
-24.83766587510263,8099.623584280392,66,0_-1_31
-157.53109641206595,8014.5382430448735,92,0_-1_31
-18.103467516518776,7956.336012122266,60,0_-1_31
-186.6470097890126,8122.392421555095,85,0_-1_31
