x,y,value,tile_id
-303.7589393846134,8019.478840763823,93,0_-2_31
-256.0840970024243,7979.336678125421,93,0_-2_31
-376.8478163166012,8100.127281539755,81,0_-2_31
-303.96089480090427,8091.06028201809,87,0_-2_31
-383.6646321397252,8005.493952386732,52,0_-2_31
-403.21996899404564,8110.238062622028,59,0_-2_31
-456.05514751803867,8133.823806770659,62,0_-2_31
-430.35006183304927,8144.46555117016,97,0_-2_31
-279.4664442753684,8015.790664935518,73,0_-2_31
-275.9545409425017,8158.5335137981765,87,0_-2_31
