x,y,value,tile_id
331.10168914985593,1556.3173541291958,89,0_1_6
414.5400009823327,1584.7411171928193,77,0_1_6
470.2920737292425,1733.640124216304,52,0_1_6
418.5670871168454,1633.4506201684583,64,0_1_6
397.476327354525,1688.2878188077657,64,0_1_6
447.9943501199309,1705.4019041581923,76,0_1_6
425.6477679481645,1536.5704764106752,67,0_1_6
283.9163284139904,1733.903242422468,92,0_1_6
298.4577231681303,1761.273694185607,72,0_1_6
285.79690450523555,1765.2897665161238,34,0_1_6
407.9284826061769,1559.3511494594313,17,0_1_6
297.56606417715045,1779.2242076543896,22,0_1_6
464.67445962239174,1625.3483264775082,34,0_1_6
