x,y,value,tile_id
-162.39815833712692,7840.082547333658,91,0_-1_30
-218.26662140437224,7885.184457907897,60,0_-1_30
-78.6761457426727,7927.718747964331,60,0_-1_30
-35.23084164700208,7848.779575917897,95,0_-1_30
-253.44285549828032,7719.462299086444,61,0_-1_30
-82.41862518524238,7774.010434874034,86,0_-1_30
-91.822068835231,7789.984855526365,66,0_-1_30
-207.50451424426865,7876.0144987441045,96,0_-1_30
-96.8721011637432,7730.990022224231,62,0_-1_30
-126.35244112594921,7812.205794724439,52,0_-1_30
-230.24666292206166,7866.809956038266,89,0_-1_30
