x,y,value,tile_id
61.51626638546804,7626.390275384889,72,0_0_29
6.839674179972917,7450.8935686218165,84,0_0_29
77.1624080995237,7611.358997344816,55,0_0_29
218.27078796329437,7538.559802866797,87,0_0_29
150.10854284535924,7662.455921890347,68,0_0_29
192.64243573528586,7582.156771054351,61,0_0_29
90.00705863749792,7560.578865662154,8,0_0_29
60.959049818695156,7517.155035352574,44,0_0_29
27.59648505280987,7655.118970710587,32,0_0_29
26.611036192794035,7504.3017679496015,39,0_0_29
172.25327367926036,7549.673976059636,18,0_0_29
130.8434873421016,7496.703592419095,26,0_0_29
50.89032428282514,7600.2619554169305,41,0_0_29
53.36560919045996,7427.227507120846,43,0_0_29
12.958799117780417,7643.2898191258,1,0_0_29
79.26778668208678,7437.57552637125,38,0_0_29
54.60945031833142,7591.6714187980615,21,0_0_29
