x,y,value,tile_id
-127.9110006967079,9206.489163884742,97,0_-1_35
-61.57358736720471,9173.964407383548,97,0_-1_35
-85.94138312711857,9060.893705064806,98,0_-1_35
-31.629197144159207,9071.62520036525,95,0_-1_35
-84.99921971346248,9024.280120745532,91,0_-1_35
-95.0625172643995,9094.65401375554,96,0_-1_35
-182.40948149141605,9049.2685106401,97,0_-1_35
-85.87898689121153,9177.17737353844,65,0_-1_35
-156.72263626774622,9035.401735623282,62,0_-1_35
-185.1445351377671,9043.736411402924,71,0_-1_35
-169.83590553461556,9099.928238893543,85,0_-1_35
-113.3069253418206,9040.799823729263,65,0_-1_35
-189.53438729380036,9196.517877357592,92,0_-1_35
-31.601971587436083,9209.273926358992,86,0_-1_35
-185.52744020127022,9117.90055623746,54,0_-1_35
-13.938041641184782,9008.075212322074,98,0_-1_35
-102.26856861853798,9042.979191348937,80,0_-1_35
-234.91235624156877,9179.11982976178,95,0_-1_35
-141.97076126981858,9165.92340927471,66,0_-1_35
-12.69607862853195,8961.699168049365,74,0_-1_35
-60.3196392575893,9135.21380529345,74,0_-1_35
-77.55915777714154,8998.893881438926,94,0_-1_35
-110.43309793475612,9199.781989631618,77,0_-1_35
-179.83585454993624,9193.007609998529,87,0_-1_35
-182.084520422124,9038.115715848575,85,0_-1_35
-180.76037452680328,9009.082516823677,76,0_-1_35
-53.92607586037843,9145.45237824808,89,0_-1_35
