x,y,value,tile_id
203.32867887626702,8370.533185415889,89,0_0_32
233.5093396296532,8421.92248716781,76,0_0_32
90.30935654964628,8357.910498432235,58,0_0_32
230.36154201375462,8277.39727149419,75,0_0_32
75.36269067183878,8341.009249511751,66,0_0_32
22.73439714221297,8399.226796592286,66,0_0_32
191.07098157576587,8318.598358537587,62,0_0_32
15.07629713267579,8265.400008992832,67,0_0_32
173.39684856428,8323.240949087025,57,0_0_32
137.39205454307597,8192.130335553424,56,0_0_32
93.43609590668973,8349.978695420345,87,0_0_32
54.403248014397036,8346.126265499439,80,0_0_32
246.56759200130114,8332.263577252681,85,0_0_32
164.54705598823176,8201.391474528484,67,0_0_32
93.85366842718037,8337.055946084673,97,0_0_32
200.28671252677736,8340.350750589703,74,0_0_32
6.334153849232962,8362.764729597002,72,0_0_32
69.02475211598374,8298.344768713576,73,0_0_32
5.344031220082002,8340.362217355114,86,0_0_32
26.825440590094217,8314.176872494856,81,0_0_32
29.856169708092466,8309.213429406567,96,0_0_32
215.92684754299665,8300.860601538176,57,0_0_32
165.14800757876412,8282.01888720037,66,0_0_32
114.51811235169936,8366.392180957137,86,0_0_32
150.02875599225894,8265.685646085689,92,0_0_32
45.4869802898819,8282.21209981304,63,0_0_32
163.84537855199454,8354.232732277456,81,0_0_32
145.5706887616724,8327.977707481336,63,0_0_32
98.87778887904648,8444.987614283169,63,0_0_32
81.66047087521548,8426.54270095405,86,0_0_32
79.23688923045586,8340.64471072832,72,0_0_32
181.82280165975573,8253.009807802244,64,0_0_32
35.522622926091685,8214.519337977064,78,0_0_32
112.91668535279445,8336.95128876349,96,0_0_32
125.44223010210999,8354.81122649452,82,0_0_32
201.99162888373053,8227.56117054012,76,0_0_32
219.08901681953137,8378.372020842393,99,0_0_32
233.7830810318303,8227.38097904026,58,0_0_32
238.98597828859715,8279.40584035046,65,0_0_32
105.43779033486214,8268.860394392577,56,0_0_32
88.73275185066638,8408.59760003038,71,0_0_32
128.90776199412488,8266.884504375477,98,0_0_32
118.17335778210536,8226.202211942198,32,0_0_32
0.05536675737993768,8244.5158674649,29,0_0_32
22.20322010195508,8412.059983581768,18,0_0_32
70.43553518807477,8220.654107753493,16,0_0_32
18.69345129562605,8406.754915622701,32,0_0_32
86.35981938831195,8286.312403833144,12,0_0_32
33.60855181929301,8417.8824982537,26,0_0_32
53.523708641886046,8437.73455958029,30,0_0_32
247.71175633148346,8428.55906207189,1,0_0_32
103.17349303521351,8351.187254835377,26,0_0_32
173.75963661256932,8434.360150711722,13,0_0_32
